rebal_date,hold_date,n_stocks,n_entries,n_exits,turnover,gross_ret,cost_1x,net_ret_1x,spy_ret,excess_ret_1x
2019-03-31,2019-04-30,95,19,19,0.2,0.022925710922119726,8.794550863074489e-05,0.022837765413488982,0.04543718893921511,-0.02259942352572613
2019-04-30,2019-05-31,95,22,22,0.2316,-0.034467215237829064,0.00010079991992361333,-0.03456801515775268,-0.06377106423908807,0.02920304908133539
2019-05-31,2019-06-30,95,27,27,0.2842,0.0761057689362047,0.00012222164143974425,0.07598354729476496,0.06440923435070567,0.011574312944059292
2019-06-30,2019-07-31,95,32,32,0.3368,0.016630619509695094,0.00014496306653182761,0.016485656443163268,0.02005714922621693,-0.0035714927830536626
2019-07-31,2019-08-31,95,19,19,0.2,0.014625334767685698,8.622700636877705e-05,0.014539107761316922,-0.016743952813794927,0.03128306057511185
2019-08-31,2019-09-30,95,20,20,0.2105,-0.019386269014683242,9.355347243025958e-05,-0.019479822487113503,0.014771945085741978,-0.03425176757285548
2019-09-30,2019-10-31,95,25,25,0.2632,0.0022690768965129776,0.0001115465032587903,0.0021575303932541874,0.026824331132639267,-0.02466680073938508
2019-10-31,2019-11-30,95,25,25,0.2632,0.01095407090693566,0.00011079668369745831,0.010843274223238202,0.036198637475842066,-0.025355363252603864
2019-11-30,2019-12-31,95,34,34,0.3579,0.015504783310971321,0.0001495586460682608,0.01535522466490306,0.024020737640848777,-0.008665512975945717
2019-12-31,2020-01-31,95,27,27,0.2842,0.019450077204442362,0.00011862694850853127,0.01933145025593383,0.004510621731162567,0.014820828524771262
2020-01-31,2020-02-29,95,19,19,0.2,-0.0695067486775045,8.999541115441129e-05,-0.06959674408865892,-0.07916548210937036,0.00956873802071144
2020-02-29,2020-03-31,95,22,22,0.2316,-0.14494962433858416,0.00010456180472288439,-0.14505418614330703,-0.1299872549635137,-0.015066931179793325
2020-03-31,2020-04-30,95,22,22,0.2316,0.13778128348697005,0.00011533455474032967,0.13766594893222972,0.1336107842441827,0.004055164688047008
2020-04-30,2020-05-31,96,33,32,0.3385,0.07527115455714405,0.00015334693450674914,0.0751178076226373,0.04764521978043956,0.027472587842197735
2020-05-31,2020-06-30,96,20,20,0.2083,0.02045378758394314,9.681964840293664e-05,0.020356967935540204,0.013275312794580385,0.007081655140959819
2020-06-30,2020-07-31,96,24,24,0.25,0.07321997837463294,0.00011032738725926436,0.07310965098737368,0.0635517970993491,0.009557853888024576
2020-07-31,2020-08-31,96,17,17,0.1771,0.04662382749326713,8.538705409115807e-05,0.04653844043917597,0.06979659808724281,-0.023258157648066845
2020-08-31,2020-09-30,96,21,21,0.2188,-0.0170164166802233,0.00010025305737357551,-0.017116669737596877,-0.041281352688034234,0.024164682950437357
2020-09-30,2020-10-31,96,20,20,0.2083,-0.0052775680153516235,9.141039095237217e-05,-0.005368978406303996,-0.021030321519857176,0.015661343113553182
2020-10-31,2020-11-30,97,16,15,0.1598,0.11506314498549258,7.490000827627415e-05,0.11498824497721631,0.10877688374900485,0.006211361228211462
2020-11-30,2020-12-31,97,16,16,0.1649,0.035447437387113596,8.738750479860183e-05,0.035360049882314996,0.0326467233524379,0.0027133265298770956
2020-12-31,2021-01-31,97,19,19,0.1959,0.01960819129657315,8.916438667604893e-05,0.0195190269098971,-0.005971430365202424,0.025490457275099524
2021-01-31,2021-02-28,97,16,16,0.1649,0.031143750046609613,7.591219119015992e-05,0.031067837855419455,0.027805742742423645,0.00326209511299581
2021-02-28,2021-03-31,97,23,23,0.2371,0.00798497123294345,0.00010807614107130125,0.007876895091872149,0.04198633022443499,-0.034109435132562836
2021-03-31,2021-04-30,97,21,21,0.2165,0.04770850796440883,9.804848001878093e-05,0.04761045948439005,0.05635888351878715,-0.008748424034397101
2021-04-30,2021-05-31,97,37,37,0.3814,0.0336116810677578,0.00016141460697102368,0.033450266460786776,0.006566175165968913,0.026884091294817863
2021-05-31,2021-06-30,97,24,24,0.2474,0.01690272916716519,0.00010765075572427625,0.016795078411440914,0.019093331806586678,-0.0022982533951457634
2021-06-30,2021-07-31,97,20,20,0.2062,-0.0029254081651418455,9.280332720170539e-05,-0.0030182114923435507,0.027763999856495802,-0.030782211348839354
2021-07-31,2021-08-31,97,17,17,0.1753,0.036415195129856325,8.05611446765669e-05,0.036334633985179755,0.029759891958028195,0.00657474202715156
2021-08-31,2021-09-30,97,18,18,0.1856,-0.031029064241649355,8.512058785391078e-05,-0.031114184829503268,-0.04964999881717369,0.018535813987670423
2021-09-30,2021-10-31,97,22,22,0.2268,0.07672904415879199,0.0001017715878851501,0.07662727257090685,0.07359182811712861,0.0030354444537782355
2021-10-31,2021-11-30,97,23,23,0.2371,-0.03506573418599698,0.00010880572933963029,-0.03517453991533661,-0.008034840829721168,-0.02713969908561544
2021-11-30,2021-12-31,97,19,19,0.1959,0.03754526476034126,9.011524448619702e-05,0.03745514951585506,0.042585094116061706,-0.005129944600206646
2021-12-31,2022-01-31,97,21,21,0.2165,-0.058850298353914685,9.715641448842647e-05,-0.05894745476840311,-0.0494136420330612,-0.009533812735341908
2022-01-31,2022-02-28,98,22,21,0.2194,0.00021157625967289787,0.00010522767981144054,0.00010634857986145733,-0.029516785158953396,0.029623133738814852
2022-02-28,2022-03-31,98,28,28,0.2857,0.04281206231054987,0.00012500306544337722,0.04268705924510649,0.03437707131295742,0.008309987932149071
2022-03-31,2022-04-30,98,34,34,0.3469,-0.06657049764392954,0.00014886239709930573,-0.06671936004102885,-0.08493511537293164,0.018215755331902783
2022-04-30,2022-05-31,98,27,27,0.2755,0.027544794578215948,0.00012104819668415415,0.027423746381531795,0.0022571269556612705,0.025166619425870524
2022-05-31,2022-06-30,98,20,20,0.2041,-0.09644337013572965,9.484961596553208e-05,-0.09653821975169519,-0.08640678541931479,-0.010131434332380396
2022-06-30,2022-07-31,98,23,23,0.2347,0.0827324340674562,0.00011146017974549363,0.08262097388771071,0.09680498845102914,-0.014184014563318428
2022-07-31,2022-08-31,98,27,27,0.2755,0.0031386254547007128,0.00012141825417173805,0.0030172072005289746,-0.040802066225756106,0.04381927342628508
2022-08-31,2022-09-30,99,23,22,0.2273,-0.07748773386835393,9.967273627174628e-05,-0.07758740660462568,-0.09615881852104835,0.01857141191642267
2022-09-30,2022-10-31,99,15,15,0.1515,0.139164481963187,7.43954577871256e-05,0.1390900865053999,0.08571730645544973,0.053372780049950164
2022-10-31,2022-11-30,99,16,16,0.1616,0.04064005613662454,8.974713039334572e-05,0.040550309006231196,0.055591502201789655,-0.01504119319555846
2022-11-30,2022-12-31,99,17,17,0.1717,-0.05209278407683612,7.772427661667643e-05,-0.05217050835345279,-0.06193572537830372,0.009765217024850927
2022-12-31,2023-01-31,98,13,14,0.1378,0.016566864551167983,6.535955049470796e-05,0.016501505000673277,0.06776816821527865,-0.051266663214605365
2023-01-31,2023-02-28,99,10,9,0.096,-0.018489429703512805,4.960039761138888e-05,-0.018539030101124194,-0.025142813643760253,0.00660378354263606
2023-02-28,2023-03-31,99,23,23,0.2323,-0.004111936196066426,0.00010205016005642528,-0.004213986356122851,0.033134886970247246,-0.037348873326370095
2023-03-31,2023-04-30,99,28,28,0.2828,0.006476867773645584,0.00012065052110941181,0.0063562172525361725,0.019852491600214073,-0.0134962743476779
2023-04-30,2023-05-31,99,28,28,0.2828,-0.015789928398704096,0.00012116807586067045,-0.015911096474564766,0.0046161570452569745,-0.02052725351982174
2023-05-31,2023-06-30,99,22,22,0.2222,0.08718334666925179,0.0001021195247400273,0.08708122714451176,0.0608591470642299,0.02622208008028186
2023-06-30,2023-07-31,99,26,26,0.2626,0.024031652126463566,0.00011886854520589908,0.023912783581257667,0.03656949931885234,-0.012656715737594672
2023-07-31,2023-08-31,99,23,23,0.2323,-0.016040065636017505,0.0001020281067985314,-0.016142093742816038,-0.016252006171284528,0.00010991242846849006
2023-08-31,2023-09-30,99,16,16,0.1616,-0.05453393481388651,7.70975677615122e-05,-0.05461103238164802,-0.050782730440929624,-0.0038283019407183982
2023-09-30,2023-10-31,99,21,21,0.2121,-0.04689926712576137,9.599541592793187e-05,-0.0469952625416893,-0.018257717023346554,-0.028737545518342747
2023-10-31,2023-11-30,99,21,21,0.2121,0.12883081283671194,9.555172318835467e-05,0.1287352611135236,0.09134356553320555,0.037391695580318046
2023-11-30,2023-12-31,99,25,25,0.2525,0.06189887209055112,0.00012170755965781421,0.06177716453089331,0.04143301886265305,0.020344145668240263
2023-12-31,2024-01-31,99,23,23,0.2323,0.03556867902851718,0.00010602097071475061,0.03546265805780243,0.02004549100155728,0.01541716705624515
2024-01-31,2024-02-29,99,18,18,0.1818,0.12709485646695723,8.408594054406481e-05,0.12701077052641316,0.052186826731802416,0.07482394379461074
2024-02-29,2024-03-31,99,17,17,0.1717,0.05230354171507059,9.205981236508393e-05,0.052211481902705505,0.02950329534252827,0.022708186560177236
2024-03-31,2024-04-30,99,18,18,0.1818,-0.048275293335205215,8.500956160200966e-05,-0.04836030289680723,-0.03733795994054523,-0.011022342956261998
2024-04-30,2024-05-31,99,20,20,0.202,0.05330576632593623,9.212972826234866e-05,0.05321363659767388,0.050579723908376284,0.0026339126892975934
2024-05-31,2024-06-30,99,18,18,0.1818,0.023185218180102864,8.577545166984959e-05,0.023099442728433013,0.03195108465249685,-0.00885164192406384
